,date,tic,open,high,low,close,volume,avgvol_50,sma_10,sma_50,sma_100,sma_200,wma_50,rsi_14,volatility_30,volatility_100,stddev_30,dmi_14,adx_14,macd,atr_14
0,1986-01-02,ABT.US,68.1238,68.3733,66.7516,0.8285,6451313.0,6600869.28,0.809,0.7594,0.72,0.6872,0.7816,63.6395,0.001,0.0026,0.0321211990062378,35.8652,38.9229,0.0176,1.4414
8,1986-01-02,MRK.US,137.0017,138.0015,136.7489,1.1337,8635939.0,6673932.2,1.1091,1.0306,0.9706,0.9214,1.0681,70.8236,0.0015,0.0062,0.0409742303726451,48.3908,50.258,0.0253,1.775
9,1986-01-02,PFE.US,47.3652,47.9568,47.2464,0.7178,8940000.0,12221423.6458,0.7332,0.7207,0.6976,0.6873,0.7384,42.7538,0.0005,0.0016,0.0222132625307059,23.0091,31.0014,-0.0024,1.3231
13,1986-01-03,ABT.US,67.7495,68.3733,67.6246,0.833,3592775.0,6605288.96,0.8116,0.762,0.7217,0.6883,0.7844,64.7899,0.0011,0.0027,0.0326810955483976,35.8652,38.7045,0.0181,1.3919
21,1986-01-03,MRK.US,138.0015,140.8764,137.8732,1.1542,8639712.0,6738598.0,1.1139,1.0353,0.9731,0.9231,1.0729,74.9323,0.0014,0.0064,0.0404045739263853,57.2017,50.754,0.027,1.8627
22,1986-01-03,PFE.US,47.7204,47.8392,47.3652,0.7232,10874400.0,12298607.6434,0.7304,0.7223,0.6979,0.6879,0.7385,44.9991,0.0005,0.0016,0.0221501004759033,23.0091,30.4305,-0.0031,1.2624
26,1986-01-06,ABT.US,68.2484,68.5015,67.7495,0.833,3428819.0,6624464.68,0.8139,0.7647,0.7233,0.6894,0.7872,64.7899,0.0011,0.0027,0.0332268953783351,36.6458,38.5575,0.0184,1.3462
34,1986-01-06,MRK.US,141.0009,141.3744,140.2501,1.1573,7507872.0,6783645.24,1.1184,1.04,0.9756,0.9248,1.0777,75.4943,0.0013,0.0067,0.0392369882725378,58.5227,51.3089,0.0283,1.81
35,1986-01-06,PFE.US,47.7204,48.0756,47.3652,0.7232,9271200.0,12375983.6412,0.7264,0.7238,0.698,0.6885,0.7386,44.9991,0.0005,0.0016,0.0220180273316081,19.564,29.6544,-0.0037,1.223
39,1986-01-07,ABT.US,68.2484,71.3743,68.2484,0.859,9648455.0,6757696.76,0.8186,0.7681,0.7252,0.6906,0.7909,70.9492,0.0012,0.0029,0.0351205407551541,51.0301,39.4484,0.0204,1.4733
47,1986-01-07,MRK.US,141.3744,141.8761,141.0009,1.1624,5644109.0,6768931.32,1.1239,1.0449,0.9781,0.9264,1.0825,76.4305,0.0013,0.007,0.0374785491197392,59.8667,51.9202,0.0295,1.7521
48,1986-01-07,PFE.US,49.26,49.26,48.0756,0.7465,10852800.0,12483839.6382,0.725,0.7258,0.6985,0.6892,0.7395,54.0229,0.0005,0.0016,0.0216010299596426,3.8684,27.8125,-0.0022,1.2456
52,1986-01-08,ABT.US,70.2516,70.8754,66.8762,0.8163,8757390.0,6901407.78,0.8201,0.7706,0.7265,0.6916,0.7928,54.1851,0.0012,0.003,0.034983987120377,35.2358,39.1475,0.0184,1.6538
60,1986-01-08,MRK.US,141.7516,142.2497,138.7485,1.1419,7334323.0,6875324.28,1.1291,1.0494,0.9803,0.928,1.0863,65.5847,0.0012,0.0073,0.0360212051664588,38.2143,50.9412,0.0284,1.877
61,1986-01-08,PFE.US,48.786,50.2068,48.312,0.7393,15300000.0,12721871.6314,0.727,0.7277,0.6988,0.6899,0.74,51.2261,0.0005,0.0016,0.0216010299596426,6.6781,26.3029,-0.0016,1.292
65,1986-01-09,ABT.US,65.7499,67.001,65.2509,0.8053,8928474.0,7018885.82,0.8213,0.773,0.7279,0.6926,0.7942,50.8517,0.0011,0.003,0.0343634715792835,19.3192,37.7312,0.0157,1.6606
73,1986-01-09,MRK.US,138.126,138.4995,134.5003,1.1213,18796090.0,7197672.32,1.1325,1.0536,0.9822,0.9295,1.0891,56.8539,0.001,0.0074,0.0340576749606499,8.3948,47.9022,0.0255,2.0644
74,1986-01-09,PFE.US,47.3652,47.8392,46.536,0.7178,24681599.0,13109231.62,0.7268,0.7291,0.6991,0.6905,0.7396,43.9147,0.0005,0.0016,0.0218767800821736,11.4788,25.244,-0.0029,1.3604
78,1986-01-10,ABT.US,65.8747,67.001,65.8747,0.8175,5513912.0,7075415.0,0.8235,0.7754,0.7294,0.6936,0.7959,54.2158,0.0011,0.003,0.0334971416924022,19.3192,36.416,0.0144,1.6314
86,1986-01-10,MRK.US,137.2507,137.2507,134.7493,1.1131,11431584.0,7334398.6,1.1344,1.0573,0.984,0.9309,1.0915,53.7846,0.0008,0.0076,0.0313071205326485,8.3948,45.0802,0.0224,2.0957
